/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-104.maverick2.tacc.utexas.edu
Mon Oct 24 13:02:32 CDT 2022
start training tiramisu 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10000
2022-10-24 13:05:41.680906 epoch 1: loss: 0.02640 | coarse loss: 0.02118
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 13:08:20.490638 epoch 2: loss: 0.01828 | coarse loss: 0.02118
2022-10-24 13:10:59.770552 epoch 3: loss: 0.01709 | coarse loss: 0.02118
2022-10-24 13:13:38.546112 epoch 4: loss: 0.01569 | coarse loss: 0.02118
2022-10-24 13:16:17.677941 epoch 5: loss: 0.01485 | coarse loss: 0.02118
2022-10-24 13:18:57.045823 epoch 6: loss: 0.01442 | coarse loss: 0.02118
2022-10-24 13:21:36.367572 epoch 7: loss: 0.01404 | coarse loss: 0.02118
2022-10-24 13:24:15.233376 epoch 8: loss: 0.01386 | coarse loss: 0.02118
2022-10-24 13:26:54.480293 epoch 9: loss: 0.01367 | coarse loss: 0.02118
2022-10-24 13:29:33.652902 epoch 10: loss: 0.01352 | coarse loss: 0.02118
2022-10-24 13:32:13.084360 epoch 11: loss: 0.01340 | coarse loss: 0.02118
2022-10-24 13:34:51.847664 epoch 12: loss: 0.01314 | coarse loss: 0.02118
2022-10-24 13:37:30.538346 epoch 13: loss: 0.01273 | coarse loss: 0.02118
2022-10-24 13:40:09.287842 epoch 14: loss: 0.01208 | coarse loss: 0.02118
2022-10-24 13:42:48.839214 epoch 15: loss: 0.01182 | coarse loss: 0.02118
2022-10-24 13:45:27.650831 epoch 16: loss: 0.01148 | coarse loss: 0.02118
2022-10-24 13:48:06.497337 epoch 17: loss: 0.01106 | coarse loss: 0.02118
2022-10-24 13:50:45.203854 epoch 18: loss: 0.01079 | coarse loss: 0.02118
2022-10-24 13:53:24.316842 epoch 19: loss: 0.01059 | coarse loss: 0.02118
2022-10-24 13:56:03.123149 epoch 20: loss: 0.01052 | coarse loss: 0.02118
2022-10-24 13:58:41.941100 epoch 21: loss: 0.01036 | coarse loss: 0.02118
2022-10-24 14:01:20.893759 epoch 22: loss: 0.01020 | coarse loss: 0.02118
2022-10-24 14:04:00.273009 epoch 23: loss: 0.01011 | coarse loss: 0.02118
2022-10-24 14:06:39.244040 epoch 24: loss: 0.00989 | coarse loss: 0.02118
2022-10-24 14:09:18.035791 epoch 25: loss: 0.00984 | coarse loss: 0.02118
2022-10-24 14:11:57.620525 epoch 26: loss: 0.00972 | coarse loss: 0.02118
2022-10-24 14:14:36.853221 epoch 27: loss: 0.00976 | coarse loss: 0.02118
2022-10-24 14:17:15.879492 epoch 28: loss: 0.00960 | coarse loss: 0.02118
2022-10-24 14:19:54.635782 epoch 29: loss: 0.00961 | coarse loss: 0.02118
2022-10-24 14:22:33.967704 epoch 30: loss: 0.00949 | coarse loss: 0.02118
