/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Mon Oct 24 17:28:39 CDT 2022
start training unet 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-24 17:29:27.753005 epoch 1: loss: 0.03232 | coarse loss: 0.02113
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 17:29:46.302069 epoch 2: loss: 0.02102 | coarse loss: 0.02125
2022-10-24 17:30:04.745493 epoch 3: loss: 0.01942 | coarse loss: 0.02114
2022-10-24 17:30:23.224084 epoch 4: loss: 0.01833 | coarse loss: 0.02117
2022-10-24 17:30:41.603076 epoch 5: loss: 0.01752 | coarse loss: 0.02121
2022-10-24 17:31:00.149350 epoch 6: loss: 0.01690 | coarse loss: 0.02116
2022-10-24 17:31:18.440873 epoch 7: loss: 0.01647 | coarse loss: 0.02120
2022-10-24 17:31:36.881065 epoch 8: loss: 0.01619 | coarse loss: 0.02120
2022-10-24 17:31:55.369419 epoch 9: loss: 0.01580 | coarse loss: 0.02117
2022-10-24 17:32:13.788841 epoch 10: loss: 0.01553 | coarse loss: 0.02116
2022-10-24 17:32:32.093595 epoch 11: loss: 0.01527 | coarse loss: 0.02111
2022-10-24 17:32:50.486042 epoch 12: loss: 0.01507 | coarse loss: 0.02122
2022-10-24 17:33:08.924512 epoch 13: loss: 0.01493 | coarse loss: 0.02116
2022-10-24 17:33:27.387693 epoch 14: loss: 0.01466 | coarse loss: 0.02115
2022-10-24 17:33:45.822825 epoch 15: loss: 0.01432 | coarse loss: 0.02117
2022-10-24 17:34:04.290073 epoch 16: loss: 0.01434 | coarse loss: 0.02119
2022-10-24 17:34:22.743674 epoch 17: loss: 0.01390 | coarse loss: 0.02113
2022-10-24 17:34:41.306076 epoch 18: loss: 0.01433 | coarse loss: 0.02122
