/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Wed Sep 14 16:27:24 CDT 2022
start training tiramisu
gpu available: True
epoch 1: loss: 0.05775 | coarse loss: 0.02802 
epoch 2: loss: 0.03612 | coarse loss: 0.02786 
epoch 3: loss: 0.03096 | coarse loss: 0.02796 
epoch 4: loss: 0.02878 | coarse loss: 0.02812 
epoch 5: loss: 0.02661 | coarse loss: 0.02783 
epoch 6: loss: 0.02541 | coarse loss: 0.02784 
epoch 7: loss: 0.02455 | coarse loss: 0.02789 
epoch 8: loss: 0.02393 | coarse loss: 0.02783 
epoch 9: loss: 0.02358 | coarse loss: 0.02791 
epoch 10: loss: 0.02319 | coarse loss: 0.02803 
epoch 11: loss: 0.02268 | coarse loss: 0.02798 
epoch 12: loss: 0.02237 | coarse loss: 0.02794 
epoch 13: loss: 0.02193 | coarse loss: 0.02783 
epoch 14: loss: 0.02185 | coarse loss: 0.02794 
epoch 15: loss: 0.02165 | coarse loss: 0.02795 
epoch 16: loss: 0.02142 | coarse loss: 0.02794 
epoch 17: loss: 0.02115 | coarse loss: 0.02798 
epoch 18: loss: 0.02104 | coarse loss: 0.02802 
epoch 19: loss: 0.02116 | coarse loss: 0.02825 
epoch 20: loss: 0.02077 | coarse loss: 0.02797 
epoch 21: loss: 0.02045 | coarse loss: 0.02783 
epoch 22: loss: 0.02046 | coarse loss: 0.02792 
epoch 23: loss: 0.02033 | coarse loss: 0.02783 
epoch 24: loss: 0.02031 | coarse loss: 0.02797 
epoch 25: loss: 0.02020 | coarse loss: 0.02798 
epoch 26: loss: 0.02017 | coarse loss: 0.02811 
epoch 27: loss: 0.02003 | coarse loss: 0.02805 
epoch 28: loss: 0.02002 | coarse loss: 0.02811 
epoch 29: loss: 0.01978 | coarse loss: 0.02787 
epoch 30: loss: 0.01971 | coarse loss: 0.02783 
epoch 31: loss: 0.01975 | coarse loss: 0.02805 
epoch 32: loss: 0.01972 | coarse loss: 0.02802 
