/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-107.maverick2.tacc.utexas.edu
Fri Sep 16 00:02:39 CDT 2022
start training tiramisu
gpu available: True
setting up data
2022-09-16 00:10:01.773926 epoch 1: loss: 0.04139 | coarse loss: 0.02796 
2022-09-16 00:16:53.605505 epoch 2: loss: 0.02339 | coarse loss: 0.02796 
2022-09-16 00:23:45.472827 epoch 3: loss: 0.01960 | coarse loss: 0.02796 
2022-09-16 00:30:37.571746 epoch 4: loss: 0.01741 | coarse loss: 0.02796 
2022-09-16 00:37:29.101022 epoch 5: loss: 0.01592 | coarse loss: 0.02796 
2022-09-16 00:44:20.662499 epoch 6: loss: 0.01490 | coarse loss: 0.02796 
2022-09-16 00:51:12.663128 epoch 7: loss: 0.01404 | coarse loss: 0.02796 
2022-09-16 00:58:04.231632 epoch 8: loss: 0.01346 | coarse loss: 0.02796 
2022-09-16 01:04:56.180158 epoch 9: loss: 0.01302 | coarse loss: 0.02796 
2022-09-16 01:11:48.261308 epoch 10: loss: 0.01253 | coarse loss: 0.02796 
2022-09-16 01:18:40.259316 epoch 11: loss: 0.01218 | coarse loss: 0.02796 
2022-09-16 01:25:31.791843 epoch 12: loss: 0.01192 | coarse loss: 0.02796 
2022-09-16 01:32:23.726141 epoch 13: loss: 0.01167 | coarse loss: 0.02796 
2022-09-16 01:39:15.484178 epoch 14: loss: 0.01141 | coarse loss: 0.02796 
2022-09-16 01:46:07.245137 epoch 15: loss: 0.01123 | coarse loss: 0.02796 
2022-09-16 01:52:58.971830 epoch 16: loss: 0.01100 | coarse loss: 0.02796 
2022-09-16 01:59:50.985685 epoch 17: loss: 0.01086 | coarse loss: 0.02796 
2022-09-16 02:06:42.437743 epoch 18: loss: 0.01059 | coarse loss: 0.02796 
2022-09-16 02:13:33.848690 epoch 19: loss: 0.01046 | coarse loss: 0.02796 
2022-09-16 02:20:25.321434 epoch 20: loss: 0.01030 | coarse loss: 0.02796 
2022-09-16 02:27:16.999585 epoch 21: loss: 0.01013 | coarse loss: 0.02796 
2022-09-16 02:34:08.434675 epoch 22: loss: 0.01008 | coarse loss: 0.02796 
2022-09-16 02:40:59.937730 epoch 23: loss: 0.00997 | coarse loss: 0.02796 
2022-09-16 02:47:51.347827 epoch 24: loss: 0.00988 | coarse loss: 0.02796 
2022-09-16 02:54:42.731625 epoch 25: loss: 0.00977 | coarse loss: 0.02796 
2022-09-16 03:01:34.326700 epoch 26: loss: 0.00969 | coarse loss: 0.02796 
2022-09-16 03:08:25.926065 epoch 27: loss: 0.00960 | coarse loss: 0.02796 
2022-09-16 03:15:17.407495 epoch 28: loss: 0.00951 | coarse loss: 0.02796 
2022-09-16 03:22:08.862175 epoch 29: loss: 0.00944 | coarse loss: 0.02796 
2022-09-16 03:29:00.518890 epoch 30: loss: 0.00943 | coarse loss: 0.02796 
2022-09-16 03:35:52.261982 epoch 31: loss: 0.00931 | coarse loss: 0.02796 
2022-09-16 03:42:43.866922 epoch 32: loss: 0.00926 | coarse loss: 0.02796 
