/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-103.maverick2.tacc.utexas.edu
Mon Oct 24 07:18:48 CDT 2022
start training unet 128
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-24 07:19:31.750094 epoch 1: loss: 0.03716 | coarse loss: 0.02121
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-24 07:19:43.961555 epoch 2: loss: 0.02183 | coarse loss: 0.02123
2022-10-24 07:19:56.173669 epoch 3: loss: 0.01971 | coarse loss: 0.02115
2022-10-24 07:20:08.437622 epoch 4: loss: 0.01871 | coarse loss: 0.02123
2022-10-24 07:20:20.791915 epoch 5: loss: 0.01768 | coarse loss: 0.02113
2022-10-24 07:20:33.224843 epoch 6: loss: 0.01705 | coarse loss: 0.02112
2022-10-24 07:20:45.577403 epoch 7: loss: 0.01655 | coarse loss: 0.02121
2022-10-24 07:20:57.830839 epoch 8: loss: 0.01620 | coarse loss: 0.02120
2022-10-24 07:21:10.167402 epoch 9: loss: 0.01593 | coarse loss: 0.02115
2022-10-24 07:21:22.388181 epoch 10: loss: 0.01578 | coarse loss: 0.02119
2022-10-24 07:21:34.665944 epoch 11: loss: 0.01555 | coarse loss: 0.02120
2022-10-24 07:21:47.064060 epoch 12: loss: 0.01543 | coarse loss: 0.02116
2022-10-24 07:21:59.248699 epoch 13: loss: 0.01529 | coarse loss: 0.02122
2022-10-24 07:22:11.620959 epoch 14: loss: 0.01503 | coarse loss: 0.02118
2022-10-24 07:22:24.121225 epoch 15: loss: 0.01486 | coarse loss: 0.02120
2022-10-24 07:22:36.575188 epoch 16: loss: 0.01460 | coarse loss: 0.02113
2022-10-24 07:22:48.889507 epoch 17: loss: 0.01450 | coarse loss: 0.02116
2022-10-24 07:23:01.415669 epoch 18: loss: 0.01399 | coarse loss: 0.02115
