/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-104.maverick2.tacc.utexas.edu
Thu Oct  6 14:42:48 CDT 2022
start training unet 256
gpu available: True | n of gpus: 1
setting up data
total number of data points: 10016
2022-10-06 14:44:56.419085 epoch 1: loss: 0.00921 | coarse loss: 0.00386
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-06 14:46:03.632366 epoch 2: loss: 0.00405 | coarse loss: 0.00385
2022-10-06 14:47:11.286964 epoch 3: loss: 0.00300 | coarse loss: 0.00385
2022-10-06 14:48:18.403577 epoch 4: loss: 0.00266 | coarse loss: 0.00386
2022-10-06 14:49:25.591148 epoch 5: loss: 0.00248 | coarse loss: 0.00385
2022-10-06 14:50:32.961246 epoch 6: loss: 0.00237 | coarse loss: 0.00386
2022-10-06 14:51:40.532893 epoch 7: loss: 0.00230 | coarse loss: 0.00385
2022-10-06 14:52:47.893634 epoch 8: loss: 0.00223 | coarse loss: 0.00385
2022-10-06 14:53:55.522067 epoch 9: loss: 0.00217 | coarse loss: 0.00385
2022-10-06 14:55:02.922954 epoch 10: loss: 0.00212 | coarse loss: 0.00385
2022-10-06 14:56:10.389023 epoch 11: loss: 0.00210 | coarse loss: 0.00386
2022-10-06 14:57:17.816270 epoch 12: loss: 0.00204 | coarse loss: 0.00386
2022-10-06 14:58:25.520604 epoch 13: loss: 0.00202 | coarse loss: 0.00386
2022-10-06 14:59:32.985630 epoch 14: loss: 0.00202 | coarse loss: 0.00385
2022-10-06 15:00:40.418837 epoch 15: loss: 0.00200 | coarse loss: 0.00385
2022-10-06 15:01:47.931360 epoch 16: loss: 0.00192 | coarse loss: 0.00385
2022-10-06 15:02:55.360016 epoch 17: loss: 0.00189 | coarse loss: 0.00385
2022-10-06 15:04:03.027646 epoch 18: loss: 0.00188 | coarse loss: 0.00385
2022-10-06 15:05:10.459440 epoch 19: loss: 0.00191 | coarse loss: 0.00386
2022-10-06 15:06:17.896762 epoch 20: loss: 0.00189 | coarse loss: 0.00385
2022-10-06 15:07:25.322370 epoch 21: loss: 0.00184 | coarse loss: 0.00386
2022-10-06 15:08:33.026997 epoch 22: loss: 0.00182 | coarse loss: 0.00386
2022-10-06 15:09:40.733704 epoch 23: loss: 0.00184 | coarse loss: 0.00385
2022-10-06 15:10:48.659427 epoch 24: loss: 0.00183 | coarse loss: 0.00385
2022-10-06 15:11:56.093318 epoch 25: loss: 0.00180 | coarse loss: 0.00385
2022-10-06 15:13:03.690194 epoch 26: loss: 0.00177 | coarse loss: 0.00386
2022-10-06 15:14:11.188426 epoch 27: loss: 0.00174 | coarse loss: 0.00386
2022-10-06 15:15:18.731840 epoch 28: loss: 0.00174 | coarse loss: 0.00385
2022-10-06 15:16:26.215419 epoch 29: loss: 0.00174 | coarse loss: 0.00386
2022-10-06 15:17:34.221286 epoch 30: loss: 0.00169 | coarse loss: 0.00385
2022-10-06 15:18:41.979823 epoch 31: loss: 0.00167 | coarse loss: 0.00385
2022-10-06 15:19:49.711468 epoch 32: loss: 0.00166 | coarse loss: 0.00386
2022-10-06 15:20:57.202843 epoch 33: loss: 0.00167 | coarse loss: 0.00385
2022-10-06 15:22:05.090418 epoch 34: loss: 0.00165 | coarse loss: 0.00385
2022-10-06 15:23:12.782004 epoch 35: loss: 0.00163 | coarse loss: 0.00385
2022-10-06 15:24:20.293879 epoch 36: loss: 0.00161 | coarse loss: 0.00386
2022-10-06 15:25:27.744439 epoch 37: loss: 0.00160 | coarse loss: 0.00385
2022-10-06 15:26:35.211071 epoch 38: loss: 0.00161 | coarse loss: 0.00386
2022-10-06 15:27:42.668400 epoch 39: loss: 0.00162 | coarse loss: 0.00385
2022-10-06 15:28:50.150332 epoch 40: loss: 0.00160 | coarse loss: 0.00386
2022-10-06 15:29:57.706499 epoch 41: loss: 0.00158 | coarse loss: 0.00386
2022-10-06 15:31:05.644489 epoch 42: loss: 0.00156 | coarse loss: 0.00385
2022-10-06 15:32:13.260018 epoch 43: loss: 0.00158 | coarse loss: 0.00385
2022-10-06 15:33:20.857860 epoch 44: loss: 0.00156 | coarse loss: 0.00386
2022-10-06 15:34:28.296036 epoch 45: loss: 0.00157 | coarse loss: 0.00386
2022-10-06 15:35:35.778423 epoch 46: loss: 0.00154 | coarse loss: 0.00385
2022-10-06 15:36:43.718827 epoch 47: loss: 0.00155 | coarse loss: 0.00386
2022-10-06 15:37:51.623741 epoch 48: loss: 0.00153 | coarse loss: 0.00385
2022-10-06 15:38:59.016808 epoch 49: loss: 0.00153 | coarse loss: 0.00385
2022-10-06 15:40:06.318848 epoch 50: loss: 0.00153 | coarse loss: 0.00385
2022-10-06 15:41:13.598586 epoch 51: loss: 0.00152 | coarse loss: 0.00385
2022-10-06 15:42:21.555042 epoch 52: loss: 0.00152 | coarse loss: 0.00386
2022-10-06 15:43:28.800830 epoch 53: loss: 0.00151 | coarse loss: 0.00385
2022-10-06 15:44:36.843067 epoch 54: loss: 0.00152 | coarse loss: 0.00386
2022-10-06 15:45:44.754803 epoch 55: loss: 0.00152 | coarse loss: 0.00386
2022-10-06 15:46:52.071649 epoch 56: loss: 0.00151 | coarse loss: 0.00385
2022-10-06 15:47:59.840196 epoch 57: loss: 0.00150 | coarse loss: 0.00385
2022-10-06 15:49:07.528183 epoch 58: loss: 0.00148 | coarse loss: 0.00385
2022-10-06 15:50:14.895545 epoch 59: loss: 0.00149 | coarse loss: 0.00386
2022-10-06 15:51:22.243009 epoch 60: loss: 0.00148 | coarse loss: 0.00385
2022-10-06 15:52:29.682886 epoch 61: loss: 0.00148 | coarse loss: 0.00385
2022-10-06 15:53:37.165044 epoch 62: loss: 0.00147 | coarse loss: 0.00385
2022-10-06 15:54:44.515938 epoch 63: loss: 0.00147 | coarse loss: 0.00385
2022-10-06 15:55:51.871452 epoch 64: loss: 0.00146 | coarse loss: 0.00385
2022-10-06 15:56:59.226766 epoch 65: loss: 0.00146 | coarse loss: 0.00385
2022-10-06 15:58:06.559933 epoch 66: loss: 0.00147 | coarse loss: 0.00385
2022-10-06 15:59:14.527300 epoch 67: loss: 0.00145 | coarse loss: 0.00385
2022-10-06 16:00:22.295765 epoch 68: loss: 0.00147 | coarse loss: 0.00386
2022-10-06 16:01:30.160846 epoch 69: loss: 0.00145 | coarse loss: 0.00386
2022-10-06 16:02:38.076250 epoch 70: loss: 0.00145 | coarse loss: 0.00385
2022-10-06 16:03:45.703961 epoch 71: loss: 0.00145 | coarse loss: 0.00385
2022-10-06 16:04:53.243159 epoch 72: loss: 0.00145 | coarse loss: 0.00385
2022-10-06 16:06:00.778162 epoch 73: loss: 0.00144 | coarse loss: 0.00385
2022-10-06 16:07:08.190170 epoch 74: loss: 0.00144 | coarse loss: 0.00386
2022-10-06 16:08:16.199377 epoch 75: loss: 0.00143 | coarse loss: 0.00385
2022-10-06 16:09:23.691117 epoch 76: loss: 0.00146 | coarse loss: 0.00385
2022-10-06 16:10:31.672501 epoch 77: loss: 0.00143 | coarse loss: 0.00385
2022-10-06 16:11:39.209085 epoch 78: loss: 0.00142 | coarse loss: 0.00386
2022-10-06 16:12:47.025124 epoch 79: loss: 0.00141 | coarse loss: 0.00385
2022-10-06 16:13:55.055958 epoch 80: loss: 0.00143 | coarse loss: 0.00385
2022-10-06 16:15:02.880884 epoch 81: loss: 0.00142 | coarse loss: 0.00385
2022-10-06 16:16:10.827833 epoch 82: loss: 0.00141 | coarse loss: 0.00385
2022-10-06 16:17:18.645317 epoch 83: loss: 0.00141 | coarse loss: 0.00386
2022-10-06 16:18:26.214921 epoch 84: loss: 0.00140 | coarse loss: 0.00385
2022-10-06 16:19:34.129502 epoch 85: loss: 0.00141 | coarse loss: 0.00386
2022-10-06 16:20:41.980558 epoch 86: loss: 0.00140 | coarse loss: 0.00385
2022-10-06 16:21:49.835160 epoch 87: loss: 0.00140 | coarse loss: 0.00386
2022-10-06 16:22:57.837395 epoch 88: loss: 0.00140 | coarse loss: 0.00385
2022-10-06 16:24:05.197673 epoch 89: loss: 0.00140 | coarse loss: 0.00385
2022-10-06 16:25:12.488768 epoch 90: loss: 0.00140 | coarse loss: 0.00385
2022-10-06 16:26:19.826663 epoch 91: loss: 0.00139 | coarse loss: 0.00385
2022-10-06 16:27:27.181768 epoch 92: loss: 0.00139 | coarse loss: 0.00386
2022-10-06 16:28:34.510046 epoch 93: loss: 0.00140 | coarse loss: 0.00386
2022-10-06 16:29:41.866143 epoch 94: loss: 0.00138 | coarse loss: 0.00386
2022-10-06 16:30:49.328574 epoch 95: loss: 0.00140 | coarse loss: 0.00386
2022-10-06 16:31:57.233564 epoch 96: loss: 0.00139 | coarse loss: 0.00386
2022-10-06 16:33:04.550879 epoch 97: loss: 0.00138 | coarse loss: 0.00386
2022-10-06 16:34:11.990013 epoch 98: loss: 0.00138 | coarse loss: 0.00386
2022-10-06 16:35:19.317405 epoch 99: loss: 0.00138 | coarse loss: 0.00386
2022-10-06 16:36:26.626541 epoch 100: loss: 0.00137 | coarse loss: 0.00385
2022-10-06 16:37:34.371046 epoch 101: loss: 0.00137 | coarse loss: 0.00386
2022-10-06 16:38:42.189658 epoch 102: loss: 0.00137 | coarse loss: 0.00385
2022-10-06 16:39:49.506293 epoch 103: loss: 0.00137 | coarse loss: 0.00386
2022-10-06 16:40:56.863384 epoch 104: loss: 0.00136 | coarse loss: 0.00386
2022-10-06 16:42:04.923928 epoch 105: loss: 0.00137 | coarse loss: 0.00385
2022-10-06 16:43:12.767342 epoch 106: loss: 0.00137 | coarse loss: 0.00385
2022-10-06 16:44:20.145530 epoch 107: loss: 0.00136 | coarse loss: 0.00385
2022-10-06 16:45:27.485261 epoch 108: loss: 0.00137 | coarse loss: 0.00386
2022-10-06 16:46:34.901543 epoch 109: loss: 0.00136 | coarse loss: 0.00385
2022-10-06 16:47:42.352212 epoch 110: loss: 0.00137 | coarse loss: 0.00386
2022-10-06 16:48:49.766116 epoch 111: loss: 0.00137 | coarse loss: 0.00385
2022-10-06 16:49:57.167995 epoch 112: loss: 0.00135 | coarse loss: 0.00386
2022-10-06 16:51:04.527963 epoch 113: loss: 0.00136 | coarse loss: 0.00386
2022-10-06 16:52:11.848582 epoch 114: loss: 0.00135 | coarse loss: 0.00385
2022-10-06 16:53:19.269735 epoch 115: loss: 0.00134 | coarse loss: 0.00385
2022-10-06 16:54:26.641632 epoch 116: loss: 0.00135 | coarse loss: 0.00385
2022-10-06 16:55:34.651440 epoch 117: loss: 0.00135 | coarse loss: 0.00386
2022-10-06 16:56:42.551698 epoch 118: loss: 0.00135 | coarse loss: 0.00386
2022-10-06 16:57:49.925521 epoch 119: loss: 0.00134 | coarse loss: 0.00385
2022-10-06 16:58:57.274070 epoch 120: loss: 0.00135 | coarse loss: 0.00386
2022-10-06 17:00:04.713947 epoch 121: loss: 0.00134 | coarse loss: 0.00385
2022-10-06 17:01:12.564071 epoch 122: loss: 0.00134 | coarse loss: 0.00385
2022-10-06 17:02:19.940526 epoch 123: loss: 0.00134 | coarse loss: 0.00386
2022-10-06 17:03:27.712677 epoch 124: loss: 0.00133 | coarse loss: 0.00385
2022-10-06 17:04:35.096457 epoch 125: loss: 0.00133 | coarse loss: 0.00386
2022-10-06 17:05:43.262466 epoch 126: loss: 0.00133 | coarse loss: 0.00386
2022-10-06 17:06:50.645254 epoch 127: loss: 0.00133 | coarse loss: 0.00386
2022-10-06 17:07:58.041294 epoch 128: loss: 0.00132 | coarse loss: 0.00385
2022-10-06 17:09:05.430169 epoch 129: loss: 0.00133 | coarse loss: 0.00386
2022-10-06 17:10:13.390985 epoch 130: loss: 0.00132 | coarse loss: 0.00386
2022-10-06 17:11:20.826427 epoch 131: loss: 0.00132 | coarse loss: 0.00385
2022-10-06 17:12:28.572570 epoch 132: loss: 0.00132 | coarse loss: 0.00386
2022-10-06 17:13:35.953988 epoch 133: loss: 0.00133 | coarse loss: 0.00385
2022-10-06 17:14:43.355780 epoch 134: loss: 0.00132 | coarse loss: 0.00385
2022-10-06 17:15:51.264520 epoch 135: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 17:16:58.783663 epoch 136: loss: 0.00131 | coarse loss: 0.00386
2022-10-06 17:18:06.551535 epoch 137: loss: 0.00132 | coarse loss: 0.00385
2022-10-06 17:19:14.478427 epoch 138: loss: 0.00132 | coarse loss: 0.00386
2022-10-06 17:20:21.906026 epoch 139: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 17:21:29.266021 epoch 140: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 17:22:36.588268 epoch 141: loss: 0.00132 | coarse loss: 0.00386
2022-10-06 17:23:43.901692 epoch 142: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:24:51.981973 epoch 143: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 17:26:00.011639 epoch 144: loss: 0.00131 | coarse loss: 0.00386
2022-10-06 17:27:07.589684 epoch 145: loss: 0.00132 | coarse loss: 0.00385
2022-10-06 17:28:15.454531 epoch 146: loss: 0.00132 | coarse loss: 0.00386
2022-10-06 17:29:23.022703 epoch 147: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:30:30.594956 epoch 148: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 17:31:38.275644 epoch 149: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 17:32:46.169760 epoch 150: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:33:53.539921 epoch 151: loss: 0.00130 | coarse loss: 0.00386
2022-10-06 17:35:00.985887 epoch 152: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:36:08.336313 epoch 153: loss: 0.00130 | coarse loss: 0.00386
2022-10-06 17:37:15.783420 epoch 154: loss: 0.00131 | coarse loss: 0.00386
2022-10-06 17:38:23.212206 epoch 155: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:39:30.796023 epoch 156: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:40:38.266993 epoch 157: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:41:45.633891 epoch 158: loss: 0.00129 | coarse loss: 0.00386
2022-10-06 17:42:53.398423 epoch 159: loss: 0.00129 | coarse loss: 0.00386
2022-10-06 17:44:01.142619 epoch 160: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:45:08.593706 epoch 161: loss: 0.00129 | coarse loss: 0.00386
2022-10-06 17:46:16.530145 epoch 162: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:47:23.962504 epoch 163: loss: 0.00129 | coarse loss: 0.00386
2022-10-06 17:48:31.841694 epoch 164: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:49:39.189572 epoch 165: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:50:46.501427 epoch 166: loss: 0.00130 | coarse loss: 0.00385
2022-10-06 17:51:53.817450 epoch 167: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:53:01.125702 epoch 168: loss: 0.00128 | coarse loss: 0.00385
2022-10-06 17:54:08.924112 epoch 169: loss: 0.00128 | coarse loss: 0.00386
2022-10-06 17:55:16.304577 epoch 170: loss: 0.00128 | coarse loss: 0.00385
2022-10-06 17:56:23.661487 epoch 171: loss: 0.00128 | coarse loss: 0.00386
2022-10-06 17:57:31.004072 epoch 172: loss: 0.00128 | coarse loss: 0.00386
2022-10-06 17:58:38.387384 epoch 173: loss: 0.00129 | coarse loss: 0.00385
2022-10-06 17:59:45.824534 epoch 174: loss: 0.00128 | coarse loss: 0.00386
2022-10-06 18:00:53.353235 epoch 175: loss: 0.00128 | coarse loss: 0.00385
2022-10-06 18:02:00.724822 epoch 176: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:03:08.075858 epoch 177: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:04:15.378803 epoch 178: loss: 0.00131 | coarse loss: 0.00385
2022-10-06 18:05:23.318613 epoch 179: loss: 0.00127 | coarse loss: 0.00386
2022-10-06 18:06:31.151078 epoch 180: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:07:38.490321 epoch 181: loss: 0.00128 | coarse loss: 0.00386
2022-10-06 18:08:45.895163 epoch 182: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:09:53.260039 epoch 183: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:11:00.606675 epoch 184: loss: 0.00127 | coarse loss: 0.00386
2022-10-06 18:12:08.005035 epoch 185: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:13:15.430176 epoch 186: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:14:22.847645 epoch 187: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:15:30.214371 epoch 188: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:16:38.128315 epoch 189: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:17:45.569486 epoch 190: loss: 0.00126 | coarse loss: 0.00385
2022-10-06 18:18:52.990445 epoch 191: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:20:00.374894 epoch 192: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:21:08.336949 epoch 193: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:22:15.766278 epoch 194: loss: 0.00126 | coarse loss: 0.00385
2022-10-06 18:23:23.187796 epoch 195: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:24:30.824342 epoch 196: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:25:38.727551 epoch 197: loss: 0.00127 | coarse loss: 0.00385
2022-10-06 18:26:46.269241 epoch 198: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:27:53.770021 epoch 199: loss: 0.00126 | coarse loss: 0.00385
2022-10-06 18:29:01.243039 epoch 200: loss: 0.00125 | coarse loss: 0.00386
2022-10-06 18:30:09.176257 epoch 201: loss: 0.00125 | coarse loss: 0.00386
2022-10-06 18:31:17.063414 epoch 202: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:32:24.583678 epoch 203: loss: 0.00125 | coarse loss: 0.00386
2022-10-06 18:33:32.009963 epoch 204: loss: 0.00125 | coarse loss: 0.00386
2022-10-06 18:34:39.589625 epoch 205: loss: 0.00126 | coarse loss: 0.00386
2022-10-06 18:35:47.520195 epoch 206: loss: 0.00125 | coarse loss: 0.00386
2022-10-06 18:36:54.890116 epoch 207: loss: 0.00125 | coarse loss: 0.00385
2022-10-06 18:38:02.278883 epoch 208: loss: 0.00125 | coarse loss: 0.00386
2022-10-06 18:39:09.731491 epoch 209: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:40:17.142753 epoch 210: loss: 0.00125 | coarse loss: 0.00385
2022-10-06 18:41:24.557663 epoch 211: loss: 0.00125 | coarse loss: 0.00385
2022-10-06 18:42:31.960392 epoch 212: loss: 0.00125 | coarse loss: 0.00385
2022-10-06 18:43:39.560249 epoch 213: loss: 0.00125 | coarse loss: 0.00385
2022-10-06 18:44:47.410917 epoch 214: loss: 0.00125 | coarse loss: 0.00385
2022-10-06 18:45:54.831021 epoch 215: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:47:02.665518 epoch 216: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 18:48:10.055451 epoch 217: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:49:17.482212 epoch 218: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:50:25.482971 epoch 219: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 18:51:33.274358 epoch 220: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 18:52:40.612473 epoch 221: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:53:47.986545 epoch 222: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:54:55.402400 epoch 223: loss: 0.00126 | coarse loss: 0.00385
2022-10-06 18:56:02.823054 epoch 224: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:57:10.260226 epoch 225: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 18:58:17.970143 epoch 226: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 18:59:25.316297 epoch 227: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 19:00:32.731698 epoch 228: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 19:01:40.134034 epoch 229: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:02:47.477360 epoch 230: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:03:54.982405 epoch 231: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:05:02.387363 epoch 232: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 19:06:10.241528 epoch 233: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 19:07:18.020095 epoch 234: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:08:25.602814 epoch 235: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:09:33.275170 epoch 236: loss: 0.00124 | coarse loss: 0.00385
2022-10-06 19:10:40.863109 epoch 237: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 19:11:48.403491 epoch 238: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:12:56.460315 epoch 239: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:14:04.258612 epoch 240: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:15:12.163622 epoch 241: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 19:16:20.052247 epoch 242: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:17:27.566536 epoch 243: loss: 0.00124 | coarse loss: 0.00386
2022-10-06 19:18:35.411316 epoch 244: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:19:43.121923 epoch 245: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:20:51.153630 epoch 246: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:21:58.575838 epoch 247: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:23:06.442371 epoch 248: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:24:14.281740 epoch 249: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:25:21.723723 epoch 250: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:26:29.713105 epoch 251: loss: 0.00123 | coarse loss: 0.00385
2022-10-06 19:27:37.372431 epoch 252: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:28:44.695313 epoch 253: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:29:52.051589 epoch 254: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:30:59.888035 epoch 255: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:32:07.947932 epoch 256: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:33:15.883467 epoch 257: loss: 0.00123 | coarse loss: 0.00386
2022-10-06 19:34:23.413960 epoch 258: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:35:30.929971 epoch 259: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:36:38.471062 epoch 260: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:37:46.054594 epoch 261: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:38:53.959027 epoch 262: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:40:01.993031 epoch 263: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:41:09.860001 epoch 264: loss: 0.00122 | coarse loss: 0.00386
2022-10-06 19:42:17.375248 epoch 265: loss: 0.00121 | coarse loss: 0.00385
2022-10-06 19:43:25.339604 epoch 266: loss: 0.00122 | coarse loss: 0.00385
2022-10-06 19:44:33.111035 epoch 267: loss: 0.00122 | coarse loss: 0.00386
