/work/09080/lkaiser/maverick2/run_1/bash_scripts
c228-101.maverick2.tacc.utexas.edu
Tue Oct 25 11:35:09 CDT 2022
start training unet 256
gpu available: True | n of gpus: 2
setting up data
total number of data points: 10048
2022-10-25 11:36:59.628483 epoch 1: loss: 0.01214 | coarse loss: 0.00435
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3635: UserWarning: Default upsampling behavior when mode=bilinear is changed to align_corners=False since 0.4.0. Please specify align_corners=True if the old behavior is desired. See the documentation of nn.Upsample for details.
  "See the documentation of nn.Upsample for details.".format(mode)
/home1/09080/lkaiser/.local/lib/python3.6/site-packages/torch/nn/functional.py:3509: UserWarning: nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.
  warnings.warn("nn.functional.upsample is deprecated. Use nn.functional.interpolate instead.")
2022-10-25 11:37:43.698832 epoch 2: loss: 0.00786 | coarse loss: 0.00434
2022-10-25 11:38:27.741709 epoch 3: loss: 0.00718 | coarse loss: 0.00436
2022-10-25 11:39:12.002475 epoch 4: loss: 0.00681 | coarse loss: 0.00436
2022-10-25 11:39:55.949987 epoch 5: loss: 0.00651 | coarse loss: 0.00435
2022-10-25 11:40:40.293648 epoch 6: loss: 0.00609 | coarse loss: 0.00434
2022-10-25 11:41:24.521811 epoch 7: loss: 0.00499 | coarse loss: 0.00435
2022-10-25 11:42:08.823509 epoch 8: loss: 0.00429 | coarse loss: 0.00435
2022-10-25 11:42:53.389340 epoch 9: loss: 0.00393 | coarse loss: 0.00434
2022-10-25 11:43:37.795540 epoch 10: loss: 0.00373 | coarse loss: 0.00435
2022-10-25 11:44:22.183768 epoch 11: loss: 0.00361 | coarse loss: 0.00437
2022-10-25 11:45:06.470588 epoch 12: loss: 0.00347 | coarse loss: 0.00434
2022-10-25 11:45:50.910586 epoch 13: loss: 0.00341 | coarse loss: 0.00434
2022-10-25 11:46:35.628995 epoch 14: loss: 0.00336 | coarse loss: 0.00434
2022-10-25 11:47:19.785046 epoch 15: loss: 0.00332 | coarse loss: 0.00435
2022-10-25 11:48:04.105811 epoch 16: loss: 0.00328 | coarse loss: 0.00435
2022-10-25 11:48:48.498339 epoch 17: loss: 0.00319 | coarse loss: 0.00434
2022-10-25 11:49:33.402546 epoch 18: loss: 0.00317 | coarse loss: 0.00435
